Metric,GA,ACO
total_cost,0.41466974851480937,0.4165113437719293
hpwl,2621440486.8678446,2633082648.388624
avg_congestion,0.892442959584273,0.9921025857083585
max_congestion,21.916469854363044,31.275547619103715
overflow_ratio,0.05078125,0.064453125
time,25326.134006738663,5798.329914569855
